Stage,Blood Lactate,Velocity (km/h),Stage Finish Time
0,1,5,03:00
1,1.1,10,06:00
2,1.1,11,09:00
3,1.3,12,12:00
4,1.6,13,15:00
5,1.9,14,18:00
6,2.7,15,21:00
7,3.8,16,24:00
8,5.9,17,27:00
