Stage,Blood Lactate,Velocity (km/h),Stage Finish Time
0,0.5,12,03:00
1,0.4,13,06:00
2,0.5,14,09:00
3,0.6,15,12:00
4,0.9,16,15:00
5,1.5,17,18:00
6,2.6,18,21:00
7,4.6,19,24:00
