Stage,Blood Lactate,Velocity (km/h),Stage Finish Time
0,0.9,12,00:04:00
1,1,14,00:08:00
2,0.8,15,00:12:00
3,1.1,16,00:16:00
4,1.7,17,00:20:00
5,2.6,18,00:24:00
6,3.6,19,00:28:00
7,5.8,20,00:32:00
