ID code:,985,,Test number:,1407,,Barometric press. (mmHg):,769,,t,Rf,VT,VE,VO2,VCO2,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,R,FeO2,FeCO2,HR,VO2/HR,Load1,Load2,Load3,Phase,Marker,FetO2,FetCO2,FiO2,FiCO2,Ti,Te,Ttot,Ti/Ttot,IV,PetO2,PetCO2,P(a-et)CO2,SpO2,VD(phys),VD/VT,Env. Temp.,Analyz. Temp.,Analyz. Press.,Env. Press.,Batteries,PaCO2,PaO2,PH,SaO2,HCO3-,Bias Flow,La-,Hb,Steady State,EEm,EEh,EEkc,EEbsa,EEkg,PROg,PROkc,FATg,FATkc,CHOg,CHOkc,PRO%,FAT%,CHO%,npRQ,t Rel,mark Speed,mark Dist.,ST I,ST II,ST III,ST aVR,ST aVL,ST aVF,ST V1,ST V2,ST V3,ST V4,ST V5,ST V6,S I,S II,S III,S aVR,S aVL,S aVF,S V1,S V2,S V3,S V4,S V5,S V6,P Syst,P Diast,Symptom,DP,Stage,RR,METS,Phase time,Qt,SV,Vt/FVC,Long,Lat,Alt,GPS Speed,GPS Dist.,predVO2,BR,O2 Cost,EEtot,IC,Step,LogVE,P(A-a)O2,User 1,User 2,User 3
Last name:,FLANDERS,,Test date:,21/02/2019,,Temperature (degrees C):,22,,hh:mm:ss,b/min,l,l/min,ml/min,ml/min,ml,ml,---,---,ml/min/Kg,---,%,%,bpm,ml/bpm,Watt,Watt,Watt,---,---,%,%,%,%,sec,sec,sec,---,l,mmHg,mmHg,Kpa,%,ml,---,°C,°C,mmHg,mmHg,mV,Kpa,Kpa,---,%,meq/L,ml/sec,mmol,mmol/L,---,Kcal/min,Kcal/h,Kcal/day,Kcal/m^2/day,Kcal/Kg/day,g/day,Kcal/day,g/day,Kcal/day,g/day,Kcal/day,%,%,%,---,s,m/s,m,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mV/sec,mmHg,mmHg,---,mmHg/min,#,mS,---,hh:mm:ss,l/min,ml/beat,---,---,---,m,m/s,m,%,%,ml/Kg/m,Kcal,l,#,l/min,Kpa,---,---,---
First name:,NED,,Test time:,15:53,,Humidity;%,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex:,M,,N. of steps:,1259,,Temp. flowm. (degrees C):,34,,00:00:04,16.12903226,0.183564112,2.960711482,85.15169341,69.80518104,32.53163983,5.302963232,34.76984853,42.41392169,1.37341441,0.819774431,17.72222222,2.888888889,82,1.038435286,0,0,0,0,,16.76,3.81,21.03,0.07,2.02,1.7,3.72,0.543010753,0.883,121,27,0,0,0,0,21,0,619,769,0,0,0,0,0,0,0,0,0,,0.408307562,24.49845371,587.9628889,352.6802258,9.483272402,0,0,37.97772217,356.9905884,55.74483465,234.1283055,0,60.71651717,39.82025226,0.819774431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392404117,00:00:00,0,0,0,E 000°00.000,N 00°00.000,0,0,0,3,97,0,0,0,1,0.471396088,20.23981878,0,0,0
Age:,40,,Duration (hh:mm:ss):,00:29:30,,Humidity flowm.;%,100,,00:00:06,16.23815968,0.172346305,2.798586821,79.5330205,67.79862895,29.98213828,5.302963232,35.18773465,41.27792648,1.282790653,0.852458872,17.3964497,3.076923077,82,0.969914884,0,0,0,0,,16.26,4.14,20.69,0.18,2.39,1.305,3.695,0.646820027,0.504,117,29,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,0.384581255,23.07487527,553.7970065,332.1863624,8.932209782,0,0,29.03940224,272.9703811,67.57156824,283.8005866,0,49.29069278,51.24632009,0.852458872,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366511615,00:00:02,0,0,0,E 000°00.000,N 00°00.000,0,0,0,3,97,0,0.006409688,0,2,0.446938785,19.91259394,0,0,0
Height (cm):,163,,BSA (m^2):,1.667127459,,STPD:,0.836527923,,00:00:08,19.25545571,0.296761981,5.71428718,180.8585845,155.8968552,50.58211083,10.09602615,31.59533288,36.65428128,2.917073943,0.86198206,17.04467354,3.402061856,82,2.205592494,0,0,0,0,,16,4.31,20.72,0.14,1.95,1.166,3.116,0.625802311,0.483,115,31,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,0.876670718,52.60024307,1262.405834,757.2341433,20.36138441,0,0,61.77376002,580.6733442,163.931585,688.5126569,0,45.99735907,54.53972396,0.86198206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833449698,00:00:04,0,0,0,E 000°00.000,N 00°00.000,0,0,0,7,95,0,0.027430554,0,3,0.756962063,19.94146672,0,0,0
Weight (Kg):,62,,BMI (Kg/m^2):,23.33546614,,BTPS insp:,1.106382655,,00:00:12,20.05347594,0.408940049,8.200669437,311.9016277,262.0057881,66.79694072,16.11284982,26.29248682,31.29957356,5.030671415,0.840026998,16.33416459,3.940149626,82,3.803678387,0,0,0,0,,15.67,4.55,20.73,0.12,1.717,1.275,2.992,0.573863636,0.445,113,32,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,1.503401214,90.20407286,2164.897749,1298.579623,34.91770562,0,0,123.4776772,1160.690166,241.8646114,1015.831368,0,53.61408716,46.92283359,0.840026998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43733469,00:00:08,0,0,0,E 000°00.000,N 00°00.000,0,0,0,13,93,0,0.106766285,0,4,0.913849306,19.95109098,0,0,0
Notes:,,,HR max (bpm):,180,,BTPS exp:,1.019800622,,00:00:14,19.34235977,0.365088623,7.061675484,263.2912803,217.8629796,60.06625661,13.86928845,26.82077233,32.41337973,4.246633553,0.827459912,16.45251397,3.798882682,82,3.210869271,0,0,0,0,,15.87,4.35,20.75,0.11,1.914,1.188,3.102,0.617021277,0.454,114,31,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,1.265000836,75.90005018,1821.601204,1092.658629,29.38066459,0,0,112.421034,1056.75772,184.4338887,774.6223325,0,58.01257251,42.52425452,0.827459912,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213323872,00:00:10,0,0,0,E 000°00.000,N 00°00.000,0,0,0,11,94,0,0.152906319,0,5,0.848907756,19.9703395,0,0,0
,,,,,,UN (g/day):,0,,00:00:16,21.86588921,0.40995985,8.964136659,324.2357739,269.6300748,67.9187214,15.19502926,27.64696983,33.24605635,5.229609257,0.831586446,16.56716418,3.706467662,82,3.954094804,0,0,0,0,,15.66,4.45,20.74,0.11,1.682,1.062,2.744,0.612973761,0.434,113,32,0,0,0,0,21,0,621,769,0,0,0,0,0,0,0,0,0,,1.559467864,93.56807183,2245.633724,1347.007819,36.21989877,0,0,135.1325754,1270.246209,235.1055659,987.4433767,0,56.56515553,43.97170234,0.831586446,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.494174073,00:00:12,0,0,0,E 000°00.000,N 00°00.000,0,0,0,13,93,0,0.199980797,0,6,0.952508469,19.96071524,0,0,0
4-point,25.7,,,,,AMR (Kcal/day),0,,00:00:22,18.00720288,1.011642217,18.21684664,587.3729036,520.7986507,172.7542253,35.18312145,31.01410795,34.9786748,9.47375651,0.886657603,17.0766129,3.477822581,81,7.251517328,0,0,0,0,,15.8,4.42,20.84,0.06,1.836,1.496,3.332,0.551020408,1.038,114,31,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,2.865084879,171.9050928,4125.722226,2474.749128,66.54390688,0,0,164.7560993,1548.707334,618.8525911,2599.180883,0,37.53784789,62.99941537,0.886657603,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.706787574,00:00:18,0,0,0,E 000°00.000,N 00°00.000,0,0,0,25,86,0,0.421208435,0,7,1.260473202,20.05695784,0,0,0
,,,,,,VD (ml):,0,,00:00:25,18.05054152,0.946374977,17.08258081,542.4809608,481.3843857,162.0463188,32.73559995,31.48973336,35.48636249,8.749692916,0.887375633,17.12284483,3.459051724,81,6.697295812,0,0,0,0,,15.97,4.37,20.83,0.09,1.818,1.506,3.324,0.546931408,0.957,115,31,0,0,0,0,21,0,620,769,0,0,0,0,0,0,0,0,0,,2.646592998,158.7955799,3811.093917,2286.02432,61.46925672,0,0,151.200154,1421.281448,573.8781608,2410.288276,0,37.29326746,63.24400102,0.887375633,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.499912262,00:00:21,0,0,0,E 000°00.000,N 00°00.000,0,0,0,23,87,0,0.559000381,0,8,1.232553484,20.04733358,0,0,0
